,0
1502,61.48
1503,86.96
1504,94.85
1505,37.69
1506,46.39
1507,86.32
1508,83.73
1509,77.6
1510,28.11
1511,51.51
1512,41.0
1513,33.75
1514,33.37
1515,41.26
1516,36.27
1517,40.87
1518,33.95
1519,39.33
1520,89.29
1521,75.7
1522,96.99
1523,114.72
1524,118.69
1525,113.79
1526,83.39
1527,48.94
1528,62.77
1529,67.74
1530,39.34
1531,18.4
1532,21.18
1533,34.72
1534,35.03
1535,26.63
1536,17.41
1537,21.11
1538,25.74
1539,43.42
1540,48.89
1541,58.21
1542,82.2
1543,74.13
1544,67.72
1545,57.21
1546,50.05
1547,36.89
1548,45.17
1549,34.9
1550,21.89
1551,22.26
1552,23.3
1553,29.51
1554,28.05
1555,18.05
1556,25.5
1557,32.19
1558,22.79
1559,21.89
1560,27.25
1561,26.52
1562,31.46
1563,25.96
1564,19.54
1565,23.66
1566,26.68
1567,22.66
1568,23.95
1569,23.86
1570,26.39
1571,30.27
1572,18.52
1573,27.72
1574,27.49
1575,44.5
1576,21.73
1577,19.93
1578,26.89
1579,30.2
1580,35.68
1581,34.9
1582,28.01
1583,26.01
1584,23.59
1585,15.45
1586,16.32
1587,19.22
1588,17.6
1589,17.65
1590,18.89
1591,19.18
1592,17.85
1593,18.12
1594,13.57
1595,16.01
1596,19.82
1597,9.6
1598,16.47
1599,16.94
1600,13.39
1601,13.75
1602,15.01
1603,16.83
1604,11.88
1605,10.71
1606,13.5
1607,16.96
1608,16.43
1609,16.58
1610,16.89
1611,22.7
1612,20.73
1613,16.92
1614,13.95
1615,19.62
1616,20.66
1617,12.28
1618,13.93
1619,18.78
1620,17.69
1621,17.14
1622,19.44
1623,17.4
1624,14.46
1625,13.33
1626,15.37
1627,17.09
1628,16.5
1629,17.07
1630,20.31
1631,21.02
1632,23.17
1633,10.53
1634,8.38
1635,8.31
1636,11.24
1637,11.77
1638,13.32
1639,9.11
1640,13.88
1641,6.56
1642,6.17
1643,9.23
1644,12.62
1645,16.87
1646,22.0
1647,17.32
1648,13.92
1649,12.0
1650,16.34
1651,15.39
1652,15.79
1653,11.8
1654,10.87
1655,12.55
1656,13.79
1657,15.52
1658,12.0
1659,9.16
1660,13.66
1661,19.69
1662,23.75
1663,26.45
1664,21.15
1665,20.27
1666,23.64
1667,14.21
1668,15.3
1669,18.54
1670,18.83
1671,18.43
1672,16.0
1673,16.45
1674,19.16
1675,19.91
1676,22.42
1677,19.71
1678,14.68
1679,15.23
1680,21.44
1681,18.07
1682,16.81
1683,8.69
1684,12.13
1685,15.92
1686,21.0
1687,9.96
1688,11.29
1689,16.72
1690,23.55
1691,22.6
1692,19.56
1693,14.34
1694,14.68
1695,21.13
1696,22.62
1697,15.28
1698,9.14
1699,12.97
1700,18.94
1701,20.78
1702,24.01
1703,19.76
1704,25.43
1705,28.34
1706,23.79
1707,22.6
1708,19.87
1709,16.14
1710,12.95
1711,
1712,
1713,
1714,
1715,18.31
1716,26.08
1717,28.12
1718,10.42
1719,13.86
1720,17.72
1721,21.15
1722,22.97
1723,29.16
1724,
1725,9.05
1726,6.79
1727,5.68
1728,8.52
1729,8.96
1730,13.44
1731,24.39
1732,15.68
1733,14.32
1734,13.9
1735,13.42
1736,6.59
1737,16.5
1738,32.15
1739,32.82
1740,31.07
1741,14.64
1742,32.66
1743,39.67
1744,42.82
1745,43.79
1746,51.69
1747,44.77
1748,42.68
1749,50.91
1750,53.9
1751,63.66
1752,75.34
1753,44.01
1754,24.21
1755,49.42
1756,10.69
1757,7.96
1758,7.52
1759,15.59
1760,32.57
1761,8.14
1762,15.45
1763,14.46
1764,26.14
1765,26.19
1766,29.49
1767,36.85
1768,13.26
1769,21.2
1770,36.34
1771,57.34
1772,73.84
1773,73.95
1774,72.35
1775,66.21
1776,67.09
1777,74.66
1778,17.3
1779,26.68
1780,16.99
1781,36.03
1782,56.17
1783,36.32
1784,36.34
1785,30.38
1786,41.75
1787,64.54
1788,57.49
1789,50.55
1790,26.63
1791,22.48
1792,42.0
1793,39.64
1794,35.32
1795,69.45
1796,63.1
1797,33.97
1798,23.79
1799,35.08
1800,55.5
1801,40.93
1802,17.45
